Rank,Company Name,Webpage,Description,Location,Year end,Annual sales rise over 3 years,Sales £000s,Staff,Comments
1,Revolut,http://www.revolut.com,Digital banking services provider,East London,507.56%,58300,700,Valued at $1.7bn in 2018 and reported to be raising an additional $500m this year that could value it at $5bn
2,Bizuma,http://www.bizuma.com,B2B e-commerce platform,Central London,315.18%,26414,114,Connects wholesale buyers and sellers from over 50 countries
3,Global-e,http://www.global-e.com,Cross-border ecommerce solutions,Central London,303.09%,29297,28,Its technology helps ecommerce retailers localise their websites in more than 200 markets
4,Jungle Creations,http://www.junglecreations.com,Social media & ecommerce services,East London,302.53%,15972,159,Launched the first-ever delivery-only restaurant born from social media
5,Oxford Nanopore Technologies,http://www.nanoporetech.com,DNA analysis technology,Oxford,251.87%,32500,439,Has raised £451m in funding and was valued at £1.5bn last year
6,Lendable,http://www.lendable.co.uk,Consumer lending platform,Central London,242.98%,19366,44,"Founder moved to the UK from Germany to start the firm, citing a more favourable financial market"
7,Verve,http://www.verve.co,Marketing software developer,Central London,235.72%,21940,230,Has implemented full salary transparency in order to combat the gender pay gap
8,Onfido,http://www.onfido.com,Identity verification software,Central London,209.15%,18591,240,"Has opened offices in the US, Europe, India and Singapore to service its 1,500 customers"
9,Reverse Media Group,http://www.reversemediagroup.com,Digital publishing agency,Central London,208.10%,7606,15,Originally started as an animal onesie clothing company before pivoting to online publishing
10,Rebound Returns,http://www.reboundreturns.com,Ecommerce returns technology,Telford,191.08%,16659,21,Its platform handles more than 35m online returns transactions every year
11,ClearScore,http://www.clearscore.com,Credit-checking technology developer,South London,177.20%,42702,135,"In 2018, £90m worth of mortgages were secured through its site"
12,SPOKE,http://www.spoke-london.com,Online menswear supplier,Richmond,177.10%,5566,36,Its technology helps customers find the right fit out of 200 clothing size options in just 60 seconds
13,FSB,http://www.fsbtech.com,Gambling platform,Central London,175.54%,23945,93,Has moved into William Hill's old R&D offices in Shoreditch
14,Decibel,http://www.decibelinsight.com,Customer experience technology,Central London,165.81%,5387,68,"Uses AI and machine learning to detect consumers’ feelings of confusion, frustration and engagement"
15,Miss Group,http://www.missgroup.com,Web hosting provider,Manchester,162.06%,6925,55,"Has made four acquisitions in the last year, with £19.4m investment from growth-capital firm BGF"
16,ComplyAdvantage,http://www.complyadvantage.com,Anti-money laundering database,Central London,160.61%,5981,165,Its platform helps 450 customers in 45 countries address compliance issues
17,OTA Insight,http://www.otainsight.com,Hospitality technology provider,Central London,158.14%,10295,105,"Works with over 40,000 hotels in 126 countries, including some of the world's largest hotel groups"
18,Light Source,http://www.lightsourceuk.net,Telecoms infrastructure builder,Nottinghamshire,146.90%,31098,96,Developing a pneumatic rocket launcher that can lay fibre cable 500m from its launch site
19,Digi2al,http://www.digi2al.com,Digital technology developer,Central London,141.56%,14394,11,Called Digi2al because its software development team works in two-week sprints
20,Perkbox,http://www.perkbox.com,Employee engagement services,Central London,131.50%,53600,250,Raised £13.5m in April to boost its expansion in Australia and France
21,Lending Works,http://www.lendingworks.co.uk,Peer-to-peer lender,Central London,128.54%,6178,42,Aiming to reach £1bn in loan volume by 2023
22,Faculty,http://www.faculty.ai,AI software developer,Central London,125.91%,5193,65,"Has worked on more than 300 AI projects for clients including easyJet, Tesco and the BBC"
23,Internet Mobile Communications,http://www.im-comms.com,Telecoms services provider,Chelmsford,122.54%,60241,32,Has offices in Chile and Moldova as well as its Essex headquarters
24,Fruugo,http://www.fruugo.co.uk,Online shopping platform,Cumbria,116.00%,6661,35,Its site has been used by 2m shoppers in 17 languages and 32 countries
25,Featurespace,http://www.featurespace.com,Analytics software developer,Cambridge,110.71%,9953,200,"Its anti-fraud technology is used by 19 banks across Europe, the US and Latin America"
